sid,frame_size,perception,combined_saccade
30201cc,Small,2.2281647865,2.46076669425403
30201cc,Medium,1.724961564,0.13889370029998616
30201cc,Large,1.537479942,0.34797109198748566
30201cc,Extra Large,1.4732674475,-0.14053329820873484
30201ms,Small,2.086996633,7.358926651827139
30201ms,Medium,3.541433522,6.151998934970296
30201ms,Large,4.10594043,4.13816342385853
30201ms,Extra Large,2.735835044,3.86713443176171
30202is,Small,3.990720367,2.2268056604839304
30202is,Medium,3.1730637035,3.0250783999256807
30202is,Large,3.2189379209999998,3.5388915121027984
30202is,Extra Large,2.5772298295,1.0141176847085231
30205gr,Small,-0.2725150985,1.9445629339370654
30205gr,Medium,1.2503291095,-0.5372381051492369
30205gr,Large,1.1730693804999999,1.6601269120772755
30205gr,Extra Large,0.7470762295000001,1.546810141965756
30205jp,Small,0.6851466509999999,2.218884333159532
30205jp,Medium,1.699969223,2.267940617118881
30205jp,Large,0.9848448825000002,0.6391248692716343
30205jp,Extra Large,0.28457484099999997,0.9849063941429642
30205sb,Small,1.3958778129999998,-0.08506932799599154
30205sb,Medium,0.85829787849999994,-0.1608456928547115
30205sb,Large,0.7491734355,0.1260065511703088
30205sb,Extra Large,0.7733818305,0.7522197750066066
30208lj,Small,2.3821280204999997,9.823229380518752
30208lj,Medium,1.617990031,6.063410554700271
30208lj,Large,2.5871936965,4.587281052895774
30208lj,Extra Large,1.2983711375,2.8628700149373674
30217af,Small,2.2339938555,2.4852516190490297
30217af,Medium,0.9912682740000001,-0.004894201348143001
30217af,Large,1.029755816,2.0858506016544593
30217af,Extra Large,1.214582464,-0.1524964347920913
30301av,Small,2.356864561,2.266067720921753
30301av,Medium,2.292680349,3.0870097508168035
30301av,Large,3.3007406895,2.234091402032523
30301av,Extra Large,2.7712747149999997,1.8916624065418441
30301sb,Small,2.5163531399999997,3.5573158642157594
30301sb,Medium,3.3052045075,2.815921935370026
30301sb,Large,4.0297382365,4.137496547232367
30301sb,Extra Large,3.2970865215000003,-0.5146312782458513
30302sw,Small,3.487812557,5.961207154837422
30302sw,Medium,3.769029241,9.679802719094067
30302sw,Large,2.980139743,8.045783073225433
30302sw,Extra Large,2.281639235,6.891253287607245
30303nm,Small,1.9702484990000002,0.7721871725043103
30303nm,Medium,2.1403282910000003,0.5376936638321159
30303nm,Large,2.9333561025000003,1.1791773135518906
30303nm,Extra Large,2.61373319,-1.3850453959773055
30303vm,Small,0.9418196214999999,-3.261791353393762
30303vm,Medium,1.0394241770000001,2.9897167403701865
30303vm,Large,0.9693371265,1.1088138151976303
30303vm,Extra Large,0.9951410009999999,6.383579346058514
30308dh,Small,1.0992534305000001,1.3086502855599431
30308dh,Medium,1.016698185,1.2495336496396268
30308dh,Large,0.5110904885000003,-1.146366938198333
30308dh,Extra Large,0.6516822830000004,1.199781948580683
30310kl,Small,2.3753674555,4.204693988087794
30310kl,Medium,0.9909226605000001,2.0350582075639254
30310kl,Large,1.041883265,0.2173905417160933
30310kl,Extra Large,1.3412247650000002,0.9943966942921474
30313jp,Small,1.1100015140000001,2.6500108047829176
30313jp,Medium,1.2640082995000002,1.2720448800521313
30313jp,Large,1.4438386475000002,0.9306980820585955
30313jp,Extra Large,1.1247894120000002,1.8127345323308242
30314am,Small,1.8048204939999999,2.443102134053829
30314am,Medium,2.105106813,2.9424263676424887
30314am,Large,2.2977619044999997,3.5172217224104596
30314am,Extra Large,1.717923672,2.711203704465623
30317em,Small,2.1878994695,1.3300388335512208
30317em,Medium,0.9820304099999999,0.015450811424104927
30317em,Large,0.8982217140000001,-0.6319108749532628
30317em,Extra Large,1.141448671,1.8116365696563812
30404jm,Small,1.2157816965000001,3.8841288635788778
30404jm,Medium,1.068898093,5.960102658818205
30404jm,Large,0.8558266195,1.9310070276280105
30404jm,Extra Large,0.7730827315,2.6816327395373976
30406db,Small,4.183586612,4.958618109034546
30406db,Medium,4.173869899,6.851036920435883
30406db,Large,2.7440035625,3.9265664209361404
30406db,Extra Large,3.0344196070000002,4.296700833062909
30410mc,Small,1.527862658,4.6974953242140325
30410mc,Medium,0.9858661825000001,2.298086861415684
30410mc,Large,1.2558996164999998,0.40503101320166657
30410mc,Extra Large,0.42492144099999996,1.5205748344083616
30411ao,Small,1.641249598,2.243171265918332
30411ao,Medium,1.7003823715,1.4458120780821275
30411ao,Large,1.6219432625,2.267296301319619
30411ao,Extra Large,1.3096090679999999,1.6024922430252426
30414sh,Small,2.043054146,5.872436943501334
30414sh,Medium,1.7349393655,-0.571941077208653
30414sh,Large,1.9516703475000001,1.8866972560139221
30414sh,Extra Large,1.8984259165000001,0.2717840339630262
30417mg,Small,2.2544204175,1.5554204283087534
30417mg,Medium,2.263566493,0.6822184396254809
30417mg,Large,2.474961291,0.6474638451052132
30417mg,Extra Large,1.8678010019999998,0.4774961221328784
30418sf,Small,1.3413067925,1.8749485186780424
30418sf,Medium,1.2073716075,1.7326220327702
30418sf,Large,1.3648437245,2.744683954469979
30418sf,Extra Large,0.9421670299999999,1.6326490736145853
30420im,Small,0.8554307889999999,0.5405762537528137
30420im,Medium,1.8507153625,0.8721947481083159
30420im,Large,1.717132325,-0.0625966886395252
30420im,Extra Large,2.744846309,1.7892566293025418
30421sg,Small,2.0338490685,1.7683033672136048
30421sg,Medium,1.3897581964999999,2.7792527713163193
30421sg,Large,1.46402564,2.7641377933182216
30421sg,Extra Large,1.45836852,1.5891445487291955
30425mk,Small,1.8614035219999998,3.9855517318358844
30425mk,Medium,1.7345324620000002,2.8026685138870375
30425mk,Large,2.1550833349999996,1.0858461592089137
30425mk,Extra Large,0.918022398,0.9992271004323885
30428jl,Small,1.3126594235,1.8385650194739271
30428jl,Medium,0.476056072,-0.006610428150025882
30428jl,Large,0.9318813425000001,-0.36601814493249085
30428jl,Extra Large,0.5644258515,-2.6564919324348093
30501rb,Small,1.5032452004999999,1.9368829474466354
30501rb,Medium,1.2357286079999998,0.8714032792982735
30501rb,Large,0.9063964850000001,0.8291961464325867
30501rb,Extra Large,1.068642495,0.9636422870066428
30502ah,Small,4.6056693465,6.054480508000932
30502ah,Medium,6.679052737,9.980581583442547
30502ah,Large,4.7723041535,8.119726484187916
30502ah,Extra Large,5.799504531999999,11.705881884343519
30502mm,Small,1.38390477,3.6464948298407016
30502mm,Medium,1.9573258285,0.9713768518670829
30502mm,Large,0.9664303255,0.16010556785318575
30502mm,Extra Large,1.1482922924999999,-0.13713784187758726
30504lp,Small,1.8280778945,4.419194775028957
30504lp,Medium,1.306705693,2.4389199601504465
30504lp,Large,0.9762537835,2.0480652079893864
30504lp,Extra Large,1.0600127865,1.9413020515263384
30505pp,Small,1.6442880295,3.2501962639528577
30505pp,Medium,1.6676001695,3.1537409684873703
30505pp,Large,0.6956632065,-2.3053403322300854
30505pp,Extra Large,0.016432187499999973,-0.727779997159351
30508ab,Small,1.0479863260000002,0.9895823261010506
30508ab,Medium,1.187311088,1.5181790610189159
30508ab,Large,0.6696601215000001,-0.0906847869129751
30508ab,Extra Large,0.25056253250000005,0.4913964289496957
30509aa,Small,3.4342047119999997,5.742677579041009
30509aa,Medium,1.984194178,1.53528649073837
30509aa,Large,2.9145711619999997,3.951898730915267
30509aa,Extra Large,3.0181205484999998,3.1157159552864853
30511ki,Small,1.729832736,3.9893670864616713
30511ki,Medium,1.840299293,1.819521305275506
30511ki,Large,1.7717369719999998,1.9683664188483152
30511ki,Extra Large,2.1491998965,2.1487804299590767
30516dl,Small,2.1652795355,4.050066612929989
30516dl,Medium,1.3753067085000001,2.0390177902496753
30516dl,Large,1.4728941254999999,1.9446619060356451
30516dl,Extra Large,1.0205445174999999,1.3521904012283616
30516gm,Small,2.98972556,3.6563899861959364
30516gm,Medium,1.7404091615,2.6766903339148698
30516gm,Large,1.0582064515,2.1605235641403473
30516gm,Extra Large,1.2867176205000002,0.5016725221206229
30530iw,Small,4.2093074915,6.830303464977104
30530iw,Medium,3.062846135,5.133418329299402
30530iw,Large,2.8978667719999995,7.903261426815567
30530iw,Extra Large,2.1745941495,2.8551339519372214
30530tl,Small,5.049783720000001,0.8269181651402473
30530tl,Medium,4.6800847715,1.3981646775474164
30530tl,Large,2.6768540045,0.2947346375926725
30530tl,Extra Large,3.1858507665,4.9313749382787835
30602kh,Small,2.1972387355,4.66638677300078
30602kh,Medium,1.400480265,2.5118813612240545
30602kh,Large,2.3352892115,2.9651345050946363
30602kh,Extra Large,0.6206961995,3.1099915880282105
30606tw,Small,1.291324494,3.020536268016804
30606tw,Medium,1.1586906520000002,-0.34733456694076636
30606tw,Large,0.7756978465,0.4801505111415995
30606tw,Extra Large,0.15729627499999999,0.8814601851776044
30608at,Small,2.8362041189999996,1.7062454316446072
30608at,Medium,3.3536365765,2.6185401643827224
30608at,Large,2.9049668515000002,1.8316043991523552
30608at,Extra Large,2.3047570795,2.286188821594529
30613kb,Small,1.768396749,2.8196887850578616
30613kb,Medium,1.576220051,1.9228305018459182
30613kb,Large,1.9797814825,2.1353744738704408
30613kb,Extra Large,1.664689997,0.14201095508806963
30613th,Small,2.5809940415,3.8351146264389055
30613th,Medium,1.4550933435000002,2.0035733217380587
30613th,Large,0.8334887874999999,2.0628321312396465
30613th,Extra Large,1.0330360225,1.9121877771059868
30907tg,Small,1.835340502,0.701228039857869
30907tg,Medium,1.6294848155000001,-1.7014306178310035
30907tg,Large,0.9732404514999999,0.3609174814672258
30907tg,Extra Large,1.4035771925,3.0678441198062263
30912cg,Small,2.3109524964999997,2.43140558332099
30912cg,Medium,2.0465951225000003,2.42299526157129
30912cg,Large,2.050959353,2.174546162383277
30912cg,Extra Large,1.7881521205000002,3.268025645848821
30912kf,Small,2.141067483,3.9109044436458142
30912kf,Medium,1.716381125,1.6331580707871098
30912kf,Large,1.776715169,0.9996616173841937
30912kf,Extra Large,1.758542284,3.3890364789951533
30913my,Small,2.434796229,2.5975484533611306
30913my,Medium,1.5969353315,2.0433583544088627
30913my,Large,1.4130787375,1.5220115080974577
30913my,Extra Large,1.3052850440000001,0.7831651692711524
30914ms,Small,0.3610937249999999,2.282117762196645
30914ms,Medium,3.5365030205,0.882981148977739
30914ms,Large,1.2020311535,1.6082150851317716
30914ms,Extra Large,0.8949280774999999,1.3244291466320752
30915vb,Small,0.9123847645,1.379184765745082
30915vb,Medium,1.9349985964999998,0.3197914011413162
30915vb,Large,2.167608025,0.9113208958654169
30915vb,Extra Large,3.303085423,0.8855305008968368
31006st,Small,4.7698183805,-0.26105321272982884
31006st,Medium,4.60350603,0.4449749608041853
31006st,Large,4.449167529,-3.3983822879561587
31006st,Extra Large,3.127633939,4.379777173122293
31013kt,Small,0.5062653165,2.0768066170873665
31013kt,Medium,0.1500578399999999,0.41926726575028583
31013kt,Large,0.2804059910000001,-0.7501989553303414
31013kt,Extra Large,0.20885040249999975,-0.4127903987037467
31016cm,Small,2.0907917520000003,1.8356976312623274
31016cm,Medium,2.2113218165,1.4028699295752478
31016cm,Large,0.7613766154999999,1.914680079789281
31016cm,Extra Large,1.634720335,1.8784297553473888
31020md,Small,2.5991781135,3.0415047557342905
31020md,Medium,2.020856689,0.1634773837300696
31020md,Large,2.0344190415,1.9536919584495418
31020md,Extra Large,2.201218744,0.7008047937345898
31031dm,Small,1.6819536769999999,3.0253444318648683
31031dm,Medium,1.4970250455,2.013655352696481
31031dm,Large,1.6678206035,4.708246581417806
31031dm,Extra Large,2.148685396,1.5303758375810106
31031ki,Small,2.215665669,1.0472726726261774
31031ki,Medium,1.732892799,2.3260573745396416
31031ki,Large,1.2221755195,2.5677833877070793
31031ki,Extra Large,1.391331528,2.2427386641857128
31101ch,Small,1.351559024,3.330190329400824
31101ch,Medium,1.043337548,-1.3475757775792017
31101ch,Large,1.0082547055,0.7819273317494067
31101ch,Extra Large,0.5887266645,1.1351474991861994
31103is,Small,3.3965533775,1.4132258972087293
31103is,Medium,2.9940716985,5.617299155729169
31103is,Large,2.5987795719999998,5.03620794616136
31103is,Extra Large,2.992458734,2.8539953333237476
31103tg,Small,0.7942417195000002,9.651580769526737
31103tg,Medium,0.19439300599999987,0.17165542485408614
31103tg,Large,0.5442746725000001,1.077980334684849
31103tg,Extra Large,0.9296311469999998,0.4216980560807254
31106mh,Small,1.2486508075,0.6471016925724324
31106mh,Medium,0.7446350125,-3.2572930432123117
31106mh,Large,0.38595703150000005,-2.943444772915934
31106mh,Extra Large,0.6662685535,-3.0845593286222153
31107sl,Small,2.5434344455,7.976851809978186
31107sl,Medium,2.30468616,4.40175550978595
31107sl,Large,2.881412197,5.160239519967222
31107sl,Extra Large,2.920550926,4.955516143961366
31108be,Small,1.6712586505,2.6853360023971167
31108be,Medium,2.169106559,3.3509160152179462
31108be,Large,0.862440873,1.7615139439505902
31108be,Extra Large,0.7834748284999999,3.7389872233693855
31113kk,Small,2.6857620425,2.4110816900672285
31113kk,Medium,2.892856022,2.0469369527706345
31113kk,Large,2.731377859,1.8264309181383631
31113kk,Extra Large,2.138724332,0.536189008916075
31114kp,Small,-0.08273820599999993,-0.11544098273072367
31114kp,Medium,0.1985899040000001,1.1200611260703381
31114kp,Large,0.228132703,-1.2911641062610995
31114kp,Extra Large,-0.502632051,-1.6365088334170104
31114mc,Small,4.1500895125,3.0076080939961125
31114mc,Medium,2.783176437,2.7453154447722143
31114mc,Large,1.4688232509999999,3.154531031562416
31114mc,Extra Large,1.7147925865,1.502368586244621
31115sr,Small,3.235660777,4.939659883154595
31115sr,Medium,1.78148901,3.1474354007803664
31115sr,Large,2.448515694,3.040655955531776
31115sr,Extra Large,1.4185363245,1.77559169973024
31116cm,Small,0.670102859,3.4819546483343093
31116cm,Medium,0.785485265,2.4779299012658456
31116cm,Large,0.7096907815,1.8112027328661238
31116cm,Extra Large,0.6547238814999999,0.7448899047545203
31121cd,Small,1.8253836964999999,2.739208108921132
31121cd,Medium,1.436887725,2.5399179203379694
31121cd,Large,1.933998997,2.361935780172468
31121cd,Extra Large,1.6615011095,0.27252993739478504
31121dc,Small,2.698095241,0.9005952405879267
31121dc,Medium,2.033954637,2.749083952564611
31121dc,Large,1.2601524419999999,-1.0397199383217073
31121dc,Extra Large,1.5537691550000001,4.060833798716951
31121mm,Small,6.351867655,1.1372214280875435
31121mm,Medium,4.1420382485000005,0.9700240010316665
31121mm,Large,3.607918343,-0.4404047126384222
31121mm,Extra Large,2.53952529,3.6336452844300577
31122cc,Small,1.4368465000000001,2.449309827592171
31122cc,Medium,1.056108906,2.929269517789407
31122cc,Large,-0.06247663950000004,1.1544893422238414
31122cc,Extra Large,1.2172873329999998,1.2764962407657778
31122is,Small,2.6178119090000003,3.725560065062011
31122is,Medium,1.8453370335,-0.212512493364589
31122is,Large,1.4130229785,1.3080255504260543
31122is,Extra Large,1.8647368335000003,1.4121360236952738
31122md,Small,2.1198763145,4.140801917943765
31122md,Medium,1.165295115,0.6002333289996797
31122md,Large,0.6701323825,2.035335788385957
31122md,Extra Large,1.176702772,0.944802829100188
31122ns,Small,1.6214902725,3.9935003226620007
31122ns,Medium,1.171736787,4.522190216855867
31122ns,Large,1.4739905969999998,0.9272554046619517
31122ns,Extra Large,1.292332046,4.3364465205269
31127cj,Small,1.7969520685,9.094661810507217
31127cj,Medium,1.365328772,6.085440808973459
31127cj,Large,1.5490217455000002,4.04339160724955
31127cj,Extra Large,1.228094155,4.40223936869452
31127ks,Small,2.12899238,4.590174976463722
31127ks,Medium,3.2153396565,2.941596376626504
31127ks,Large,1.3455231109999999,3.026704758260392
31127ks,Extra Large,1.4823340415000001,1.1788741698367537
31127nf,Small,1.8686748300000002,2.5161080953734745
31127nf,Medium,0.890161474,0.6978513876700179
31127nf,Large,1.3743569075,1.2568013320165974
31127nf,Extra Large,0.9186189165,1.077694887790361
40216ss,Small,1.6860813540000001,3.213796635196478
40216ss,Medium,1.7362575355,1.5197130955669138
40216ss,Large,1.243742016,1.8442933055482515
40216ss,Extra Large,0.4852972740000001,0.9999607480404049
